"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"384","tandobagho",71.6444494794095,1,68.97,24.8,68.4869861,25.2739885,"nooriabad"
"385","tandoghulamali",43.1281159312519,1,68.88,25.12,68.4869861,25.2739885,"nooriabad"
"386","tandojanmohammad",36.6809651086166,1,69.22,25.07,69.25,25.4,"dehgan"
"387","tandomithakhan",17.4822157147093,1,69.2,25.99,69.0411402,26.0555671,"nawabkot"
"388","tandomuhammadkhan",17.6004871024155,1,68.53,25.12,68.4869861,25.2739885,"nooriabad"
"389","tangi",9.58767766771076,1,71.65,34.3,71.7222101,34.2377378,"umarzi"
"390","tangwani",9.10254265799391,1,69,28.29,68.9083333,28.3027778,"hasangarhi"
"391","tank",13.504550243597,1,70.38,32.21,70.2452971,32.2514933,"manzaifort"
"392","taunsa",9.81875211884329,1,70.64,30.7,70.6178686,30.7864773,"chappari"
"393","thanobulakhan",45.0093269078928,1,67.83,25.37,68.2743064,25.4168681,"jamshoro"
"394","tharushah",8.93802461505495,1,68.11,26.95,68.1533539,26.8793134,"mamond"
"395","thatta",14.4093030166937,1,67.92,24.75,68.0583333,24.7811111,"surjani"
"396","thul",7.11464859083497,1,68.77,28.27,68.7363637,28.3268771,"garhihassansarki"
"397","tobateksingh",17.9168319269398,1,72.47,30.97,72.6387584,31.0406065,"anahht"
"398","topi",6.3341562780148,1,72.62,34.07,72.5515384,34.0738859,"kalabat"
"399","tordher",4.98740888110125,1,71.83,34.32,71.7890821,34.3494838,"mandani"
"400","tulamba",38.6257836025729,1,72.23,30.54,71.9919982,30.2592255,"shantinagar"
"401","turbat",19.2095545845581,1,63.07,25.99,63.0147578,26.1560558,"kechdistrict"
"402","ubauro",23.2517221873893,1,69.73,28.16,69.552937,28.0208426,"mirpurmathilo"
"403","uch",34.2473129689781,1,71.05,29.24,70.9543085,28.9426638,"hakeemabad"
"404","umarkot",19.1055365109736,1,69.73,25.37,69.5802999,25.2640251,"murtazagoth"
