"","lon","lat","CityGTD","fake"
"693",45.012779,34.0364,"mansuriyah",1
"695",42.088889,36.804722,"rabiaa",1
"697",35.280093,32.409583,"qabatiyah",1
"698",130.4017155,33.5903547,"fukouka",1
"699",35.525878,33.3315082,"arnoun",1
"701",35.5162739,33.2090575,"houla",1
"702",35.5862413,33.5408371,"jezzin",1
"703",36.0720045,34.5188666,"qantara",1
"705",98.24,16.555556,"kawkareik",1
"706",97.625833,16.484722,"moulmein",1
"707",-86.1892526,13.8614768,"aguascalientes",1
"708",-85.9080917,13.2531582,"asturias",1
"709",-86.5072345,11.9787948,"elcarmen",1
"710",-86.2416142,13.4338934,"elnaranjo",1
"711",-86.234245,13.4484734,"elnispero",1
"712",-84.2828083,12.1043278,"laceiba",1
"713",-85.24249,13.2610936,"lasdelicias",1
"714",-84.9557433,13.1765198,"mulukuku",1
"715",-86.3481319,11.7153271,"rioescondido",1
"716",-86.0644304,14.0435737,"teotecacinte",1
"717",11.5148604,10.8856182,"ashaka",1
"718",13.21649,9.988122,"maiha",1
"719",14.4635958,12.2700809,"rann",1
"721",68.2167351,27.676602,"jogi",1
"722",72.0734811,34.3596683,"katlang",1
"723",67.121834,29.9027,"kolpur",1
"724",66.515556,30.1042,"kurram",1
"725",72.571667,34.799722,"malamjabba",1
"726",71.478739,34.106446,"mathra",1
"727",69.9237671,30.0436057,"rakhni",1
"728",72.427294,34.9389236,"sambat",1
"729",70.401907,33.1737486,"spinwam",1
"730",70.5473168,33.367126,"thal",1
"731",72.270833,34.170833,"yarhussain",1
"733",-73.9624327,-14.3848678,"andamarca",1
"734",-74.0300122,-13.935963,"ayucucho",1
"736",-73.2423004,-14.2951956,"chalhuanca",1
"737",-71.5590423,-16.3879749,"challapampa",1
"738",-74.3866039,-12.7388243,"churcampa",1
"740",-74.7143269,-14.116516,"huancasancos",1
"741",-74.9486422,-12.5653357,"huando",1
"742",-75.335,-11.061944,"lamerced",1
"743",-76.3246517,-8.4488985,"nuevoprogreso",1
"744",-74.198433,-13.56217,"pampacangallo",1
"745",125.916739,8.6051665,"agusandelsur",1
"746",125.4672368,7.3518379,"paquibato",1
"747",125.0388164,11.932458,"samarisland",1
"748",121.774017,12.879721,"tigbauanbanatuanmisamisandbuenas",1
"749",-25.6755944,37.7412488,"azores",1
"750",45.733333,43.116667,"staryeatagi",1
"751",43.65,3.116667,"baydhabo",1
"752",45.8802073,5.303435,"guriceel",1
"753",44.6935736,1.8076962,"janale",1
"754",45.1564679,2.1103623,"lafoole",1
"755",18.503056,-33.961111,"athlone",1
"756",28.071389,-25.773333,"atteridgeville",1
"757",26.60889,-31.9842,"ciskei",1
"758",27.863611,-26.223889,"dobsonville",1
"759",28.2190365,-25.992379,"maokeng",1
"760",24.7762279,-28.6655552,"transvaal",1
"761",30.702,-29.984,"umbumbulu",1
"762",-0.0513246,39.9863563,"castellondelaplana",1
"763",2.8214264,41.9794005,"gerona",1
"764",-15.5372249,28.1468669,"labrujala",1
"765",-2.7712529,43.210664,"lemorieta",1
"766",80.3881333,8.3451852,"anuradhapuraict",1
"767",80.8433145,6.3162324,"embilipitiya",1
"769",80.7607389,8.8340998,"padaviya",1
"770",81.3007405,8.3249734,"serunuwara",1
"771",28.4367551,9.5898957,"abyei",1
"772",68.780278,37.836389,"kurgantyube",1
"773",101.7251311,17.5297299,"mueang",1
